ticker,name,sector,first_date,last_date,n_days,short_history,active
8070.SR,Arabian Shield Cooperative Insurance Co.,Financials,2007-06-26,2026-09-22,4812,False,True
8100.SR,Saudi Arabian Cooperative Insurance Co.,Financials,2007-09-03,2026-09-22,4763,False,True
8120.SR,Gulf Union Cooperative Insurance Co.,Financials,2007-09-11,2026-09-22,4757,False,True
8150.SR,Allied Cooperative Insurance Group,Financials,2007-08-27,2026-09-22,4734,False,True
8160.SR,Arabia Insurance Cooperative Co.,Financials,2008-02-04,2026-09-22,4663,False,True
8170.SR,Al-Etihad Cooperative Insurance Co.,Financials,2008-02-09,2026-09-22,4661,False,True
8180.SR,Al Sagr Cooperative Insurance Co.,Financials,2008-02-10,2026-09-22,4659,False,True
8190.SR,United Cooperative Assurance Co.,Financials,2008-06-21,2026-09-22,4560,False,True
8200.SR,Saudi Re for Cooperative Reinsurance Co.,Financials,2008-05-24,2026-09-22,4586,False,True
8210.SR,Bupa Arabia for Cooperative Insurance Co.,Financials,2008-05-17,2026-09-22,4590,False,True
8230.SR,Al-Rajhi Company for Cooperative Insurance,Financials,2009-07-13,2026-09-22,4300,False,True
8240.SR,CHUBB Arabia Cooperative Insurance Co.,Financials,2009-07-29,2026-09-22,4288,False,True
8250.SR,AXA Cooperative Insurance Co.,Financials,2009-07-27,2026-09-22,4289,False,True
8260.SR,Gulf General Cooperative Insurance Co.,Financials,2010-02-08,2026-09-22,4159,False,True
8280.SR,Al Alamiya for Cooperative Insurance Co.,Financials,2009-12-08,2026-09-22,4203,False,True
8300.SR,Wataniya Insurance Co.,Financials,2010-06-06,2026-09-22,4075,False,True
8310.SR,Amana Cooperative Insurance Co.,Financials,2010-06-13,2026-09-22,4070,False,True
8311.SR,Saudi Enaya Cooperative Insurance Co.,Financials,2012-02-27,2026-09-22,3648,False,True
