ticker,name_en,name_ar
3080.SR,Eastern Province Cement Co.,شركة أسمنت المنطقة الشرقية
3090.SR,Tabuk Cement Co.,شركة أسمنت تبوك
3091.SR,Al Jouf Cement Co.,شركة أسمنت الجوف
4001.SR,Abdullah Al Othaim Markets Co.,شركة أسواق عبدالله العثيم
4002.SR,Mouwasat Medical Services Co.,شركة المواساة للخدمات الطبية
4003.SR,United Electronics Co.,الشركة المتحدة للإلكترونيات
4004.SR,Dallah Healthcare Co.,شركة دله للخدمات الصحية
4005.SR,National Medical Care Co.,الشركة الوطنية للرعاية الطبية
4006.SR,Saudi Marketing Co.,الشركة السعودية للتسويق
4007.SR,Al Hammadi Company for Development and Investment,شركة الحمادي للتنمية والإستثمار
4008.SR,Saudi Company for Hardware,الشركة السعودية للعدد والأدوات
4009.SR,Middle East Healthcare Co.,شركة الشرق الأوسط للرعاية الصحية
4011.SR,Lazurde Company for Jewelry,شركة لازوردي للمجوهرات
4012.SR,Thob Al Aseel Co.,شركة ثوب الأصيل
4020.SR,Saudi Real Estate Co.,الشركة العقارية السعودية
4030.SR,National Shipping Company of Saudi Arabia,الشركة الوطنية السعودية للنقل البحري
4031.SR,Saudi Ground Services Co.,الشركة السعودية للخدمات الأرضية
4040.SR,Saudi Public Transport Co.,الشركة السعودية للنقل الجماعي
4050.SR,Saudi Automotive Services Co.,الشركة السعودية لخدمات السيارات والمعدات
4051.SR,Baazeem Trading Co.,شركة باعظيم التجارية
4061.SR,Anaam International Holding Group,مجموعة أنعام الدولية القابضة
4070.SR,Tihama Advertising and Public Relations Co.,شركة تهامة للإعلان والعلاقات العامة
4080.SR,Sinad Holding Co.,شركة سناد القابضة
4090.SR,Taiba Investments Co.,شركة طيبة للإستثمار
4100.SR,Makkah Construction and Development Co.,شركة مكة للإنشاء والتعمير
4110.SR,Batic Investments and Logistics Co.,شركة باتك للاستثمار والأعمال اللوجستية
4130.SR,Al-Baha Investment and Development Co.,شركة الباحة للإستثمار والتنمية
4140.SR,Saudi Industrial Export Co.,الشركة السعودية للصادرات الصناعية
4150.SR,Arriyadh Development Co.,شركة الرياض للتعمير
4160.SR,Thimar Development Holding Co.,شركة ثمار التنمية القابضة
4170.SR,Tourism Enterprise Co.,شركة المشروعات السياحية
4180.SR,Fitaihi Holding Group,مجموعة فتيحي القابضة
4190.SR,Jarir Marketing Co.,شركة جرير للتسويق
