ticker,name_ar
4346.SR,صندوق ميفك ريت
4347.SR,صندوق بنيان ريت
4348.SR,صندوق الخبير ريت
5110.SR,الشركة السعودية للكهرباء
6001.SR,شركة حلواني إخوان
6002.SR,شركة هرفي للخدمات الغذائية
6004.SR,شركة الخطوط السعودية للتموين
6010.SR,الشركة الوطنية للتنمية الزراعية
6012.SR,شركة ريدان الغذائية
6020.SR,شركة القصيم القابضة للاستثمار
6040.SR,شركة تبوك للتنمية الزراعية
6050.SR,الشركة السعودية للأسماك
6060.SR,شركة الشرقية للتنمية
6070.SR,شركة الجوف الزراعية
6090.SR,شركة جازان للطاقة والتنمية
7010.SR,شركة الإتصالات السعودية
7020.SR,شركة اتحاد إتصالات
7030.SR,شركة الاتصالات المتنقلة السعودية
7040.SR,شركة اتحاد عذيب للإتصالات
7200.SR,شركة المعمر لأنظمة المعلومات
7201.SR,شركة بحر العرب لأنظمة المعلومات
8010.SR,الشركة التعاونية للتأمين
8012.SR,شركة الجزيرة تكافل تعاوني
8020.SR,شركة ملاذ للتأمين التعاوني
8030.SR,شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني
8040.SR,شركة أليانز السعودي الفرنسي للتأمين التعاوني
8050.SR,شركة سلامة للتأمين التعاوني
8060.SR,شركة ولاء للتأمين التعاوني
8070.SR,شركة الدرع العربي للتأمين التعاوني
8100.SR,الشركة العربية السعودية للتأمين التعاوني
8120.SR,شركة اتحاد الخليج للتأمين التعاوني
8150.SR,المجموعة المتحدة للتأمين التعاوني
8160.SR,شركة التأمين العربية التعاونية
8170.SR,شركة الاتحاد للتأمين التعاوني
8180.SR,شركة الصقر للتأمين التعاوني
8190.SR,الشركة المتحدة للتأمين التعاوني
8200.SR,الشركة السعودية لإعادة التأمين التعاوني
8210.SR,شركة بوبا العربية للتأمين التعاوني
8230.SR,شركة الراجحي للتأمين التعاوني
8240.SR,شركة تشب العربية للتأمين التعاوني
8250.SR,شركة أكسا للتأمين التعاوني
8260.SR,الشركة الخليجية العامة للتأمين التعاوني
8280.SR,الشركة العالمية للتأمين التعاوني
8300.SR,الشركة الوطنية للتأمين
8310.SR,شركة أمانة للتأمين التعاوني
8311.SR,شركة عناية السعودية للتأمين التعاوني
